תאריך,מחיר קניה,מחיר פדיון,שיעור הוספה (%),דמי ניהול (%),שווי נכסים במיל' ₪,דמי נאמנות
09/01/2024 00:00:00,512.31,512.31,0.000,2.460,201.4,0.050
08/01/2024 00:00:00,512.38,512.38,0.000,2.460,201.4,0.050
07/01/2024 00:00:00,517.28,517.28,0.000,2.460,183.7,0.050
04/01/2024 00:00:00,519.06,519.06,0.000,2.460,183.7,0.050
03/01/2024 00:00:00,516.68,516.68,0.000,2.460,183.7,0.050
02/01/2024 00:00:00,519.90,519.90,0.000,2.460,183.7,0.050
01/01/2024 00:00:00,518.60,518.60,0.000,2.460,183.7,0.050
31/12/2023 00:00:00,506.05,506.05,0.000,2.460,183.7,0.050
28/12/2023 00:00:00,503.59,503.59,0.000,2.460,183.7,0.050
27/12/2023 00:00:00,503.69,503.69,0.000,2.460,183.7,0.050
26/12/2023 00:00:00,499.59,499.59,0.000,2.460,183.7,0.050
25/12/2023 00:00:00,503.52,503.52,0.000,2.460,183.7,0.050
24/12/2023 00:00:00,503.15,503.15,0.000,2.460,183.7,0.050
21/12/2023 00:00:00,505.13,505.13,0.000,2.460,183.7,0.050
20/12/2023 00:00:00,508.85,508.85,0.000,2.460,183.7,0.050
19/12/2023 00:00:00,503.03,503.03,0.000,2.460,183.7,0.050
18/12/2023 00:00:00,499.11,499.11,0.000,2.460,183.7,0.050
17/12/2023 00:00:00,494.66,494.66,0.000,2.460,183.7,0.050
14/12/2023 00:00:00,491.37,491.37,0.000,2.460,183.7,0.050
13/12/2023 00:00:00,481.63,481.63,0.000,2.460,183.7,0.050
12/12/2023 00:00:00,483.55,483.55,0.000,2.460,183.7,0.050
11/12/2023 00:00:00,482.98,482.98,0.000,2.460,183.7,0.050
10/12/2023 00:00:00,487.68,487.68,0.000,2.460,183.7,0.050
07/12/2023 00:00:00,488.27,488.27,0.000,2.460,175.4,0.050
06/12/2023 00:00:00,487.71,487.71,0.000,2.460,175.4,0.050
05/12/2023 00:00:00,485.02,485.02,0.000,2.460,175.4,0.050
04/12/2023 00:00:00,482.32,482.32,0.000,2.460,175.4,0.050
03/12/2023 00:00:00,479.15,479.15,0.000,2.460,175.4,0.050
30/11/2023 00:00:00,474.50,474.50,0.000,2.460,175.4,0.050
29/11/2023 00:00:00,478.98,478.98,0.000,2.460,175.4,0.050
28/11/2023 00:00:00,475.91,475.91,0.000,2.460,175.4,0.050
27/11/2023 00:00:00,473.24,473.24,0.000,2.460,175.4,0.050
26/11/2023 00:00:00,473.82,473.82,0.000,2.460,175.4,0.050
23/11/2023 00:00:00,471.13,471.13,0.000,2.460,175.4,0.050
22/11/2023 00:00:00,471.02,471.02,0.000,2.460,175.4,0.050
21/11/2023 00:00:00,468.23,468.23,0.000,2.460,175.4,0.050
20/11/2023 00:00:00,464.70,464.70,0.000,2.460,175.4,0.050
19/11/2023 00:00:00,463.32,463.32,0.000,2.460,175.4,0.050
16/11/2023 00:00:00,463.19,463.19,0.000,2.460,175.4,0.050
15/11/2023 00:00:00,459.09,459.09,0.000,2.460,175.4,0.050
14/11/2023 00:00:00,455.53,455.53,0.000,2.460,175.4,0.050
13/11/2023 00:00:00,449.96,449.96,0.000,2.460,175.4,0.050
12/11/2023 00:00:00,455.78,455.78,0.000,2.460,175.4,0.050
09/11/2023 00:00:00,456.95,456.95,0.000,2.460,175.4,0.050
08/11/2023 00:00:00,457.53,457.53,0.000,2.460,175.4,0.050
07/11/2023 00:00:00,454.11,454.11,0.000,2.460,199.8,0.050
06/11/2023 00:00:00,453.07,453.07,0.000,2.460,199.8,0.050
05/11/2023 00:00:00,453.73,453.73,0.000,2.460,199.8,0.050
02/11/2023 00:00:00,443.09,443.09,0.000,2.460,199.8,0.050
01/11/2023 00:00:00,449.49,449.49,0.000,2.460,199.8,0.050
31/10/2023 00:00:00,447.60,447.60,0.000,2.460,199.8,0.050
30/10/2023 00:00:00,445.22,445.22,0.000,2.460,199.8,0.050
29/10/2023 00:00:00,440.06,440.06,0.000,2.460,199.8,0.050
26/10/2023 00:00:00,436.25,436.25,0.000,2.460,199.8,0.050
25/10/2023 00:00:00,441.95,441.95,0.000,2.460,199.8,0.050
24/10/2023 00:00:00,444.61,444.61,0.000,2.460,199.8,0.050
23/10/2023 00:00:00,444.75,444.75,0.000,2.460,199.8,0.050
22/10/2023 00:00:00,449.19,449.19,0.000,2.460,199.8,0.050
19/10/2023 00:00:00,457.95,457.95,0.000,2.460,199.8,0.050
18/10/2023 00:00:00,462.41,462.41,0.000,2.460,199.8,0.050
17/10/2023 00:00:00,462.81,462.81,0.000,2.460,199.8,0.050
16/10/2023 00:00:00,463.79,463.79,0.000,2.460,199.8,0.050
15/10/2023 00:00:00,457.52,457.52,0.000,2.460,199.8,0.050
12/10/2023 00:00:00,471.25,471.25,0.000,2.460,199.8,0.050
11/10/2023 00:00:00,471.06,471.06,0.000,2.460,199.8,0.050
10/10/2023 00:00:00,473.87,473.87,0.000,2.460,199.8,0.050
09/10/2023 00:00:00,463.76,463.76,0.000,2.460,199.8,0.050
08/10/2023 00:00:00,472.33,472.33,0.000,2.460,199.8,0.050
05/10/2023 00:00:00,497.02,497.02,0.000,2.460,207.9,0.050
04/10/2023 00:00:00,497.82,497.82,0.000,2.460,207.9,0.050
03/10/2023 00:00:00,503.13,503.13,0.000,2.460,207.9,0.050
02/10/2023 00:00:00,503.89,503.89,0.000,2.460,207.9,0.050
01/10/2023 00:00:00,502.75,502.75,0.000,2.460,207.9,0.050
28/09/2023 00:00:00,496.55,496.55,0.000,2.460,207.9,0.050
27/09/2023 00:00:00,493.06,493.06,0.000,2.460,207.9,0.050
26/09/2023 00:00:00,493.99,493.99,0.000,2.460,207.9,0.050
21/09/2023 00:00:00,497.07,497.07,0.000,2.460,207.9,0.050
20/09/2023 00:00:00,499.71,499.71,0.000,2.460,207.9,0.050
19/09/2023 00:00:00,497.77,497.77,0.000,2.460,207.9,0.050
18/09/2023 00:00:00,497.43,497.43,0.000,2.460,207.9,0.050
14/09/2023 00:00:00,497.94,497.94,0.000,2.460,207.9,0.050
13/09/2023 00:00:00,497.69,497.69,0.000,2.460,207.9,0.050
12/09/2023 00:00:00,498.86,498.86,0.000,2.460,207.9,0.050
11/09/2023 00:00:00,495.68,495.68,0.000,2.460,207.9,0.050
10/09/2023 00:00:00,497.26,497.26,0.000,2.460,207.9,0.050
07/09/2023 00:00:00,498.85,498.85,0.000,2.460,215.1,0.050
06/09/2023 00:00:00,501.45,501.45,0.000,2.460,215.1,0.050
05/09/2023 00:00:00,500.66,500.66,0.000,2.460,215.1,0.050
04/09/2023 00:00:00,500.52,500.52,0.000,2.460,215.1,0.050
03/09/2023 00:00:00,504.31,504.31,0.000,2.460,215.1,0.050
31/08/2023 00:00:00,506.58,506.58,0.000,2.460,215.1,0.050
30/08/2023 00:00:00,504.88,504.88,0.000,2.460,215.1,0.050
29/08/2023 00:00:00,501.83,501.83,0.000,2.460,215.1,0.050
28/08/2023 00:00:00,503.57,503.57,0.000,2.460,215.1,0.050
27/08/2023 00:00:00,504.32,504.32,0.000,2.460,215.1,0.050
24/08/2023 00:00:00,506.14,506.14,0.000,2.460,215.1,0.050
23/08/2023 00:00:00,505.86,505.86,0.000,2.460,215.1,0.050
22/08/2023 00:00:00,504.72,504.72,0.000,2.460,215.1,0.050
21/08/2023 00:00:00,504.90,504.90,0.000,2.460,215.1,0.050
20/08/2023 00:00:00,505.65,505.65,0.000,2.460,215.1,0.050
17/08/2023 00:00:00,506.60,506.60,0.000,2.460,215.1,0.050
16/08/2023 00:00:00,507.98,507.98,0.000,2.460,215.1,0.050
15/08/2023 00:00:00,510.79,510.79,0.000,2.460,215.1,0.050
14/08/2023 00:00:00,512.58,512.58,0.000,2.460,215.1,0.050
13/08/2023 00:00:00,514.26,514.26,0.000,2.460,215.1,0.050
10/08/2023 00:00:00,518.53,518.53,0.000,2.460,215.1,0.050
09/08/2023 00:00:00,519.87,519.87,0.000,2.460,215.1,0.050
08/08/2023 00:00:00,516.51,516.51,0.000,2.460,215.1,0.050
07/08/2023 00:00:00,515.92,515.92,0.000,2.460,211.3,0.050
06/08/2023 00:00:00,513.87,513.87,0.000,2.460,211.3,0.050
03/08/2023 00:00:00,505.99,505.99,0.000,2.460,211.3,0.050
02/08/2023 00:00:00,511.15,511.15,0.000,2.460,211.3,0.050
